Angle(Deg)	I1	I2	Itotal
0.000000	8.328486e+006	8.328486e+006	1.665697e+007
0.000500	8.328479e+006	8.328479e+006	1.665696e+007
0.001000	8.328461e+006	8.328461e+006	1.665692e+007
0.001500	8.328429e+006	8.328429e+006	1.665686e+007
0.002000	8.328386e+006	8.328386e+006	1.665677e+007
0.002500	8.328330e+006	8.328330e+006	1.665666e+007
0.003000	8.328261e+006	8.328261e+006	1.665652e+007
0.003500	8.328180e+006	8.328180e+006	1.665636e+007
0.004000	8.328087e+006	8.328087e+006	1.665617e+007
0.004500	8.327981e+006	8.327981e+006	1.665596e+007
0.005001	8.327862e+006	8.327862e+006	1.665572e+007
0.005501	8.327731e+006	8.327731e+006	1.665546e+007
0.006001	8.327588e+006	8.327588e+006	1.665518e+007
0.006501	8.327432e+006	8.327432e+006	1.665486e+007
0.007001	8.327264e+006	8.327264e+006	1.665453e+007
0.007501	8.327083e+006	8.327083e+006	1.665417e+007
0.008001	8.326890e+006	8.326890e+006	1.665378e+007
0.008501	8.326684e+006	8.326684e+006	1.665337e+007
0.009001	8.326466e+006	8.326466e+006	1.665293e+007
0.009501	8.326236e+006	8.326235e+006	1.665247e+007
0.010001	8.325993e+006	8.325992e+006	1.665199e+007
0.010501	8.325737e+006	8.325737e+006	1.665147e+007
0.011001	8.325469e+006	8.325469e+006	1.665094e+007
0.011501	8.325189e+006	8.325189e+006	1.665038e+007
0.012001	8.324896e+006	8.324896e+006	1.664979e+007
0.012501	8.324591e+006	8.324590e+006	1.664918e+007
0.013001	8.324273e+006	8.324273e+006	1.664855e+007
0.013501	8.323943e+006	8.323942e+006	1.664789e+007
0.014001	8.323600e+006	8.323600e+006	1.664720e+007
0.014501	8.323245e+006	8.323245e+006	1.664649e+007
0.015002	8.322878e+006	8.322877e+006	1.664575e+007
0.015502	8.322498e+006	8.322497e+006	1.664499e+007
0.016002	8.322105e+006	8.322105e+006	1.664421e+007
0.016502	8.321700e+006	8.321700e+006	1.664340e+007
0.017002	8.321283e+006	8.321282e+006	1.664257e+007
0.017502	8.320853e+006	8.320852e+006	1.664171e+007
0.018002	8.320411e+006	8.320410e+006	1.664082e+007
0.018502	8.319957e+006	8.319956e+006	1.663991e+007
0.019002	8.319490e+006	8.319489e+006	1.663898e+007
0.019502	8.319010e+006	8.319009e+006	1.663802e+007
0.020002	8.318518e+006	8.318517e+006	1.663704e+007
0.020502	8.318014e+006	8.318013e+006	1.663603e+007
0.021002	8.317497e+006	8.317496e+006	1.663499e+007
0.021502	8.316968e+006	8.316967e+006	1.663393e+007
0.022002	8.316426e+006	8.316425e+006	1.663285e+007
0.022502	8.315872e+006	8.315871e+006	1.663174e+007
0.023002	8.315306e+006	8.315304e+006	1.663061e+007
0.023502	8.314727e+006	8.314725e+006	1.662945e+007
0.024002	8.314136e+006	8.314134e+006	1.662827e+007
0.024502	8.313532e+006	8.313530e+006	1.662706e+007
0.025003	8.312916e+006	8.312914e+006	1.662583e+007
0.025503	8.312288e+006	8.312286e+006	1.662457e+007
0.026003	8.311647e+006	8.311645e+006	1.662329e+007
0.026503	8.310993e+006	8.310991e+006	1.662198e+007
0.027003	8.310328e+006	8.310326e+006	1.662065e+007
0.027503	8.309650e+006	8.309647e+006	1.661930e+007
0.028003	8.308959e+006	8.308957e+006	1.661792e+007
0.028503	8.308256e+006	8.308254e+006	1.661651e+007
0.029003	8.307541e+006	8.307539e+006	1.661508e+007
0.029503	8.306813e+006	8.306811e+006	1.661362e+007
0.030003	8.306073e+006	8.306071e+006	1.661214e+007
0.030503	8.305321e+006	8.305318e+006	1.661064e+007
0.031003	8.304556e+006	8.304553e+006	1.660911e+007
0.031503	8.303779e+006	8.303776e+006	1.660756e+007
0.032003	8.302990e+006	8.302987e+006	1.660598e+007
0.032503	8.302188e+006	8.302185e+006	1.660437e+007
0.033003	8.301373e+006	8.301370e+006	1.660274e+007
0.033503	8.300547e+006	8.300544e+006	1.660109e+007
0.034003	8.299708e+006	8.299705e+006	1.659941e+007
0.034503	8.298857e+006	8.298853e+006	1.659771e+007
0.035004	8.297993e+006	8.297989e+006	1.659598e+007
0.035504	8.297117e+006	8.297113e+006	1.659423e+007
0.036004	8.296228e+006	8.296225e+006	1.659245e+007
0.036504	8.295328e+006	8.295324e+006	1.659065e+007
0.037004	8.294415e+006	8.294411e+006	1.658883e+007
0.037504	8.293489e+006	8.293485e+006	1.658697e+007
0.038004	8.292552e+006	8.292547e+006	1.658510e+007
0.038504	8.291602e+006	8.291597e+006	1.658320e+007
0.039004	8.290639e+006	8.290635e+006	1.658127e+007
0.039504	8.289665e+006	8.289660e+006	1.657932e+007
0.040004	8.288677e+006	8.288673e+006	1.657735e+007
0.040504	8.287678e+006	8.287673e+006	1.657535e+007
0.041004	8.286667e+006	8.286662e+006	1.657333e+007
0.041504	8.285643e+006	8.285638e+006	1.657128e+007
0.042004	8.284606e+006	8.284601e+006	1.656921e+007
0.042504	8.283558e+006	8.283553e+006	1.656711e+007
0.043004	8.282497e+006	8.282492e+006	1.656499e+007
0.043504	8.281424e+006	8.281418e+006	1.656284e+007
0.044004	8.280339e+006	8.280333e+006	1.656067e+007
0.044504	8.279241e+006	8.279235e+006	1.655848e+007
0.045005	8.278131e+006	8.278125e+006	1.655626e+007
0.045505	8.277009e+006	8.277003e+006	1.655401e+007
0.046005	8.275874e+006	8.275868e+006	1.655174e+007
0.046505	8.274727e+006	8.274721e+006	1.654945e+007
0.047005	8.273568e+006	8.273562e+006	1.654713e+007
0.047505	8.272397e+006	8.272391e+006	1.654479e+007
0.048005	8.271214e+006	8.271207e+006	1.654242e+007
0.048505	8.270018e+006	8.270011e+006	1.654003e+007
0.049005	8.268810e+006	8.268803e+006	1.653761e+007
0.049505	8.267590e+006	8.267583e+006	1.653517e+007
0.050005	8.266357e+006	8.266350e+006	1.653271e+007
0.050505	8.265112e+006	8.265105e+006	1.653022e+007
0.051005	8.263856e+006	8.263848e+006	1.652770e+007
0.051505	8.262586e+006	8.262579e+006	1.652517e+007
0.052005	8.261305e+006	8.261297e+006	1.652260e+007
0.052505	8.260011e+006	8.260004e+006	1.652002e+007
0.053005	8.258706e+006	8.258698e+006	1.651740e+007
0.053505	8.257388e+006	8.257380e+006	1.651477e+007
